iter	Passed	Remaining
0	138	137911
1	139	69476
2	141	46961
3	145	36193
4	150	29851
5	152	25306
6	157	22390
7	167	20830
8	180	19828
9	200	19898
10	215	19388
11	222	18285
12	225	17151
13	227	16053
14	230	15132
15	241	14858
16	253	14633
17	265	14494
18	282	14610
19	288	14125
20	292	13629
21	305	13586
22	311	13232
23	315	12820
24	322	12561
25	350	13133
26	354	12760
27	358	12435
28	370	12417
29	380	12298
30	386	12072
31	390	11799
32	399	11695
33	407	11590
34	421	11627
35	429	11509
36	442	11515
37	444	11251
38	456	11238
39	464	11138
40	476	11145
41	479	10928
42	481	10714
43	495	10774
44	511	10857
45	517	10732
46	533	10808
47	536	10647
48	540	10489
49	547	10411
50	559	10408
51	572	10444
52	576	10299
53	582	10198
54	598	10284
55	621	10478
56	627	10384
57	641	10418
58	645	10291
59	654	10255
60	670	10321
61	678	10260
62	685	10202
63	696	10182
64	710	10216
65	716	10146
66	725	10105
67	738	10116
68	749	10108
69	760	10101
70	769	10070
71	779	10051
72	789	10024
73	808	10120
74	813	10034
75	823	10006
76	832	9981
77	835	9874
78	837	9768
79	842	9691
80	846	9606
81	852	9540
82	860	9506
83	874	9537
84	889	9574
85	904	9611
86	921	9665
87	940	9747
88	946	9686
89	949	9605
90	952	9510
91	966	9540
92	977	9537
93	994	9584
94	1008	9611
95	1023	9641
96	1026	9559
97	1040	9580
98	1054	9594
99	1065	9587
100	1077	9594
101	1107	9746
102	1118	9738
103	1121	9660
104	1124	9584
105	1126	9498
106	1129	9425
107	1131	9346
108	1133	9267
109	1135	9185
110	1137	9110
111	1152	9134
112	1156	9080
113	1159	9008
114	1162	8943
115	1172	8935
116	1179	8904
117	1183	8846
118	1186	8784
119	1203	8822
120	1216	8840
121	1235	8895
122	1238	8833
123	1251	8839
124	1269	8885
125	1272	8826
126	1276	8773
127	1281	8729
128	1293	8732
129	1301	8710
130	1307	8673
131	1313	8636
132	1322	8618
133	1336	8639
134	1343	8611
135	1349	8571
136	1366	8609
137	1377	8606
138	1423	8816
139	1426	8762
140	1436	8751
141	1444	8725
142	1448	8681
143	1451	8627
144	1468	8660
145	1487	8701
146	1491	8657
147	1509	8687
148	1531	8747
149	1546	8761
150	1550	8715
151	1555	8675
152	1576	8725
153	1581	8687
154	1597	8708
155	1599	8651
156	1617	8683
157	1633	8706
158	1637	8659
159	1641	8619
160	1664	8671
161	1675	8666
162	1676	8610
163	1689	8611
164	1695	8578
165	1699	8539
166	1701	8486
167	1722	8531
168	1724	8479
169	1726	8430
170	1729	8382
171	1744	8398
172	1747	8351
173	1778	8440
174	1781	8396
175	1804	8449
176	1809	8415
177	1811	8364
178	1813	8318
179	1817	8278
180	1820	8237
181	1823	8194
182	1825	8150
183	1827	8104
184	1829	8059
185	1837	8039
186	1856	8071
187	1859	8030
188	1861	7986
189	1867	7962
190	1872	7930
191	1884	7930
192	1892	7912
193	1906	7920
194	1920	7928
195	1927	7908
196	1934	7883
197	1941	7862
198	1951	7853
199	1955	7823
200	1958	7786
201	1966	7769
202	1979	7772
203	1995	7785
204	2011	7799
205	2018	7781
206	2028	7769
207	2077	7910
208	2082	7882
209	2090	7864
210	2095	7834
211	2104	7823
212	2118	7826
213	2133	7834
214	2139	7811
215	2152	7811
216	2162	7804
217	2170	7784
218	2187	7799
219	2197	7790
220	2215	7809
221	2230	7815
222	2237	7795
223	2247	7785
224	2253	7763
225	2263	7751
226	2281	7768
227	2291	7759
228	2295	7728
229	2298	7695
230	2305	7675
231	2308	7641
232	2311	7610
233	2324	7608
234	2333	7597
235	2365	7657
236	2389	7691
237	2398	7678
238	2402	7650
239	2405	7617
240	2410	7592
241	2412	7557
242	2415	7524
243	2417	7489
244	2418	7454
245	2420	7418
246	2428	7402
247	2442	7407
248	2459	7419
249	2471	7414
250	2476	7389
251	2481	7365
252	2505	7396
253	2529	7429
254	2532	7399
255	2540	7382
256	2542	7349
257	2544	7319
258	2547	7287
259	2550	7257
260	2562	7255
261	2576	7256
262	2587	7250
263	2590	7222
264	2604	7222
265	2616	7219
266	2627	7214
267	2630	7185
268	2633	7157
269	2649	7163
270	2664	7166
271	2678	7167
272	2693	7173
273	2706	7171
274	2728	7193
275	2738	7184
276	2742	7158
277	2758	7163
278	2766	7148
279	2785	7161
280	2798	7161
281	2821	7184
282	2830	7170
283	2833	7143
284	2839	7123
285	2857	7134
