iter	Passed	Remaining
0	181	181282
1	185	92316
2	191	63626
3	194	48462
4	197	39212
5	199	33052
6	202	28657
7	203	25289
8	205	22636
9	206	20487
10	208	18730
11	209	17268
12	211	16027
13	212	14946
14	213	14013
15	215	13227
16	216	12528
17	217	11876
18	218	11290
19	219	10763
20	220	10283
21	221	9847
22	222	9450
23	223	9085
24	224	8747
25	225	8434
26	225	8144
27	226	7873
28	227	7622
29	229	7409
30	230	7205
31	231	6996
32	231	6798
33	232	6612
34	233	6437
35	234	6276
36	235	6118
37	235	5965
38	236	5821
39	237	5696
40	238	5569
41	238	5446
42	239	5330
43	240	5219
44	240	5112
45	241	5010
46	243	4937
47	244	4847
48	245	4757
49	245	4671
50	246	4588
51	247	4507
52	247	4431
53	248	4357
54	249	4287
55	250	4218
56	250	4151
57	251	4087
58	252	4024
59	253	3964
60	253	3905
61	254	3848
62	255	3793
63	255	3740
64	257	3705
65	258	3658
66	259	3611
67	260	3564
68	260	3515
69	261	3471
70	262	3429
71	262	3388
72	263	3346
73	264	3307
74	264	3264
75	265	3226
76	266	3189
77	266	3153
78	267	3118
79	268	3083
80	268	3050
81	269	3017
82	270	2990
83	272	2966
84	272	2935
85	273	2905
86	274	2876
87	274	2847
88	275	2823
89	276	2799
90	277	2775
91	278	2749
92	279	2724
93	280	2699
94	280	2674
95	281	2650
96	282	2626
97	282	2602
98	283	2579
99	285	2566
100	286	2551
101	287	2530
102	287	2507
103	288	2487
104	289	2467
105	290	2445
106	290	2426
107	291	2407
108	292	2388
109	292	2368
110	293	2350
111	294	2332
112	294	2315
113	295	2298
114	296	2281
115	297	2264
116	298	2251
117	300	2243
118	301	2229
119	302	2214
120	302	2198
121	303	2186
122	304	2171
123	305	2157
124	306	2142
125	306	2128
126	307	2114
127	308	2100
128	309	2087
129	309	2073
130	310	2060
131	311	2046
132	311	2033
133	314	2033
134	315	2020
135	316	2007
136	316	1995
137	317	1983
138	318	1970
139	318	1958
140	319	1946
141	320	1934
142	320	1923
143	321	1911
144	322	1900
145	323	1889
146	323	1878
147	324	1867
148	325	1857
149	325	1846
150	328	1847
151	329	1836
152	329	1826
153	330	1816
154	331	1806
155	331	1794
156	332	1785
157	333	1775
158	333	1765
159	334	1756
160	335	1747
161	335	1737
162	336	1728
163	337	1720
